0:0:0:0:0:0:0:1 - - [22/Jan/2021:10:19:34 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:2:0e783723-5276-11eb-9b07-00d861fc144c/statistics?incidents=true HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:30 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:30 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:31 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:31 +0100] "POST /engine-rest/deployment/deploy-adaptable HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:44 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:44 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:45 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:15:40:45 +0100] "POST /engine-rest/deployment/deploy-adaptable HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:03:03 +0100] "POST /engine-rest/deployment/deploy-adaptable HTTP/1.1" 415 99
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:03:10 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:03:10 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:03:11 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:03:11 +0100] "POST /engine-rest/deployment/deploy-adaptable HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:48 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:2:0e783723-5276-11eb-9b07-00d861fc144c HTTP/1.1" 401 669
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:48 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:48 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:48 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "POST /camunda/api/admin/auth/user/default/login/cockpit HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/ HTTP/1.1" 200 31
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/admin/auth/user/default HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/telemetry/configuration HTTP/1.1" 200 35
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/task/count HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/user/demo/profile HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/process-definition/count?latestVersion=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/task/count?unfinished=true&assigned=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/process-definition/statistics?rootIncidents=true HTTP/1.1" 200 8518
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:2:0e783723-5276-11eb-9b07-00d861fc144c HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/process-definition/count?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess:2:0e783723-5276-11eb-9b07-00d861fc144c/xml HTTP/1.1" 200 3362
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "POST /camunda/api/engine/engine/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:49 +0100] "GET /camunda/api/engine/engine/default/job-definition?processDefinitionId=SimpleAdaptableProcess%3A2%3A0e783723-5276-11eb-9b07-00d861fc144c&firstResult=0&maxResults=2000 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:50 +0100] "GET /camunda/api/engine/engine/default/process-definition?key=SimpleAdaptableProcess&sortBy=version&sortOrder=desc&withoutTenantId=true HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:50 +0100] "POST /camunda/api/cockpit/plugin/base/default/process-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [22/Jan/2021:16:21:50 +0100] "POST /camunda/api/cockpit/plugin/base/default/process-instance?firstResult=0&maxResults=50&sortBy=startTime&sortOrder=desc HTTP/1.1" 200 595
