0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/app/cockpit/favicon.ico HTTP/1.1" 200 7084
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/engine/engine/default/user/demo/profile HTTP/1.1" 200 88
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess2:3:54e2548c-5c06-11eb-934f-00d861fc144c HTTP/1.1" 200 421
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "POST /camunda/api/engine/engine/default/process-instance?maxResults=1 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:44 +0100] "GET /camunda/api/engine/engine/default/process-instance/0512b748-60bd-11eb-aa10-00d861fc144c/activity-instances HTTP/1.1" 200 1102
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:45 +0100] "GET /camunda/api/engine/engine/default/process-definition/count?key=SimpleAdaptableProcess2&sortBy=version&sortOrder=desc&latestVersion=true&maxResults=1&withoutTenantId=true HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:45 +0100] "GET /camunda/api/engine/engine/default/process-definition/SimpleAdaptableProcess2:3:54e2548c-5c06-11eb-934f-00d861fc144c/xml HTTP/1.1" 200 3923
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:45 +0100] "GET /camunda/api/engine/engine/default/process-definition?key=SimpleAdaptableProcess2&sortBy=version&sortOrder=desc&latestVersion=true&maxResults=1&withoutTenantId=true HTTP/1.1" 200 423
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:45 +0100] "POST /camunda/api/engine/engine/default/variable-instance/count HTTP/1.1" 200 21
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:45 +0100] "POST /camunda/api/engine/engine/default/variable-instance?firstResult=0&maxResults=50&deserializeValues=false HTTP/1.1" 200 500
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:49:47 +0100] "GET /camunda/api/engine/engine/default/process-definition/statistics?incidents=true HTTP/1.1" 200 1275
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:57:01 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:57:44 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:57:44 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:09 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:09 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:48 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:48 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:55 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:55 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:56 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:58:56 +0100] "POST /engine-rest/deployment/develop HTTP/1.1" 500 57
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:59:07 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:59:07 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:59:08 +0100] "GET /engine-rest/deployment?maxResults=0 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [28/Jan/2021:10:59:08 +0100] "POST /engine-rest/deployment/develop HTTP/1.1" 500 57
